探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.13,983337,7682320.31,44801,33666,9460,44,3,200014,-1.10,D8
12,1.06,8004273,7551200.94,154742,339309,70762,3498,622,2116949,0.40,F8
12,0.73,5364055,7368207.42,165340,222860,54221,1659,299,1331082,-0.46,D8

F5F6D3E3F7C5D6C6F2C4B6G6C3C2H5G7E2E7C1B1F3G5H7B5E6E1H4C7B4G3
8,0.03,257052,7789454.55,9574,5017,531,13,1,31573,19.62,F4
8,0.01,119206,7947066.67,6153,4246,1039,12,1,31636,-16.58,D1
10,0.20,1508790,7432463.05,52443,44704,7412,83,11,256958,18.76,A1
10,0.16,1255701,7848131.25,32887,47552,8109,93,8,396923,-19.67,H6
12,1.10,7771430,7039338.77,264524,292376,44160,2528,268,1468537,20.22,A1
12,0.98,7546280,7661197.97,84459,367985,53683,4101,598,2778858,-18.98,H6

D3E3F6C2F3F5C3F7G5C4B1C1B5G3B2A2A1B4A3A6D2G6G7H7F2E6E7F1C6G4
8,0.09,757681,8418677.78,20738,8900,1936,13,0,71345,48.93,F4
8,0.03,282937,9127000.00,8306,10225,1233,21,2,120275,-48.10,C5
10,0.65,5244989,8119178.02,128583,89693,14341,280,33,607463,47.26,F4
10,0.14,1224278,8744842.86,15440,58628,7916,154,18,558820,-47.85,E2
12,3.60,28043581,7783397.45,816198,612429,87564,11256,1428,3489398,46.95,B3
12,1.70,14545403,8571245.14,52366,797852,86313,18986,1574,6961362,-47.61,C5

C4C3C2C5C6D6E6B2D3C1B3C7D1A3A4F4B7A5A2A7F5E2F3F1D2B6C8D8F2G2
8,0.01,80693,8069300.00,3271,3187,1241,17,1,25361,-7.13,E3
8,0.02,118396,7399750.00,4374,2659,662,13,0,15413,13.14,A1
10,0.04,262587,7294083.33,8834,13228,3538,39,0,88615,-9.60,B1
10,0.11,779952,7155522.94,30075,22913,6672,52,5,115474,12.87,B8
12,0.16,1121509,7189160.26,32704,71563,13523,252,13,406055,-10.74,B1
12,0.62,4306710,6980081.04,135329,151995,39924,808,183,802468,9.08,B8

D3C3E6F6C4E7F7E3F5B4F3G5E8F4G6C6C2G7A4D7C8C1B1C7E2D6F8A1B6B5
8,0.09,756910,8317692.31,28819,13927,3489,17,2,141896,-3.08,C5
8,0.06,458540,8188214.29,18965,8469,2283,10,0,83680,3.53,D2
10,0.80,6367371,7989173.15,141116,155780,35590,705,128,1449391,-2.83,G4
10,0.42,3268018,7762513.06,98944,77688,21284,189,47,633033,3.80,C5
12,4.76,36588332,7689855.40,603981,1135603,233169,37833,7341,9156804,-3.55,D2
12,4.02,30367355,7559709.98,360767,1072159,221739,33377,6685,8550681,3.15,G4

C4E3F4G3E6C5C6D6E2E7F7B5E8G8G7D3B4F1G5B6A5C3H2F3C7A4E1F2F6A6
8,0.04,317578,8357315.79,13656,8033,1741,15,0,85978,-16.91,B7
8,0.08,610666,8035078.95,21746,8951,1966,11,0,71232,20.88,D2
10,0.19,1528426,7960552.08,47119,48383,11676,82,10,435576,-18.76,D2
10,0.35,2748484,7742208.45,58871,63880,11390,116,12,482890,21.19,D1
12,1.30,10238051,7845249.81,193064,429775,62959,5435,828,3483686,-20.59,D2
12,2.37,17683203,7477041.44,215191,520876,80900,7896,1010,3657321,23.20,F5

D3E3F3E2F2G4F6C2C3G2H1C4D1D2C1C5F1G3G5E6D6G7G6E7F7G8B6H4B1F4
8,0.08,675509,8138662.65,19651,11566,3264,21,1,126232,9.97,B2
8,0.03,240960,8032000.00,12667,6489,1394,12,0,51740,-7.04,H3
10,0.42,3345464,7908898.35,93037,71338,20495,150,31,620965,10.36,F5
10,0.14,1146851,7964243.06,33108,46026,10806,97,17,358182,-7.69,G1
12,3.49,26265616,7521654.07,413860,807783,185802,19431,4177,6193340,9.62,B2
12,1.70,13189042,7753699.00,161380,569565,126307,9521,1731,4514554,-8.68,H3

