探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,3524,3524000.00,0,0,0,167.00,G7
4,0.00,987,inf,0,0,0,-146.00,G4
6,0.01,44914,2994266.67,49,0,0,213.00,G7
6,0.00,10879,5439500.00,24,0,0,-234.00,G8
8,0.16,495939,3138854.43,704,47,0,326.00,E1
8,0.02,77337,4070368.42,353,4,0,-370.00,G4
10,1.57,4888774,3109907.12,7888,983,3,378.00,E1
10,0.14,570647,3962826.39,3555,289,1,-405.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.01,41233,3171769.23,0,0,0,35.00,A1
4,0.01,25335,3166875.00,0,0,0,22.00,A3
6,0.27,836873,3076738.97,166,0,0,29.00,A1
6,0.16,507242,3131123.46,113,0,0,12.00,A3
8,3.85,12433946,3226244.42,5361,909,1,32.00,A1
8,1.81,5604758,3089723.26,3077,573,0,8.00,F6
10,52.11,172345867,3307537.70,116749,27165,430,28.00,F6
10,23.25,78865421,3392352.93,101725,19673,342,6.00,G6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4313,4313000.00,0,0,0,11.00,F7
4,0.00,1737,inf,0,0,0,69.00,E3
6,0.01,33007,3300700.00,57,0,0,38.00,E3
6,0.00,8675,4337500.00,47,0,0,33.00,F8
8,0.04,133179,3504710.53,772,45,0,38.00,E3
8,0.01,29156,4165142.86,399,83,0,-2.00,F8
10,0.10,334044,3374181.82,4168,608,2,3.00,B8
10,0.04,134062,3830342.86,2336,451,0,-6.00,E3

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1772,inf,0,0,0,-92.00,F8
4,0.00,1446,inf,0,0,0,129.00,H6
6,0.00,9671,4835500.00,51,0,0,-114.00,F8
6,0.00,8760,4380000.00,44,0,0,134.00,H6
8,0.01,41689,3789909.09,500,79,0,-121.00,F8
8,0.01,45122,4102000.00,570,67,0,188.00,C2
10,0.04,161790,3946097.56,3892,787,0,-174.00,B8
10,0.03,115203,4266777.78,3610,742,0,230.00,C4

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1096,inf,0,0,0,-450.00,B8
4,0.00,2182,inf,0,0,0,466.00,C8
6,0.00,6993,6993000.00,47,0,0,-478.00,C8
6,0.01,17746,3549200.00,57,0,0,456.00,H5
8,0.01,25703,3671857.14,392,51,0,-510.00,C8
8,0.02,80112,3483130.43,567,63,0,520.00,H5
10,0.03,105348,4213920.00,2413,176,0,-518.00,C8
10,0.07,246570,3735909.09,3900,649,0,505.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,7076,3538000.00,0,0,0,188.00,A6
4,0.00,1485,inf,0,0,0,-109.00,H8
6,0.02,75513,3432409.09,68,0,0,139.00,A6
6,0.00,12525,4175000.00,36,0,0,-128.00,C8
8,0.20,679898,3332833.33,1529,268,0,144.00,A1
8,0.02,71090,3949444.44,512,68,0,-132.00,G5
10,1.10,3907623,3555616.92,20695,4498,20,152.00,A6
10,0.04,160946,4235421.05,3250,487,0,-162.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,7202,3601000.00,0,0,0,-161.00,F1
4,0.00,11314,3771333.33,0,0,0,191.00,A1
6,0.03,95316,3404142.86,70,0,0,-141.00,F1
6,0.05,163099,3397895.83,78,0,0,171.00,A1
8,0.18,648515,3505486.49,1597,162,0,-132.00,F1
8,0.30,1055781,3531040.13,2045,322,0,161.00,A1
10,0.63,2318424,3703552.72,16146,2462,6,-136.00,F1
10,0.79,3131428,3973893.40,26013,5441,16,156.00,A1

