探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
8,0.01,34865,2324333.33,23775,4811,19,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,970,inf,393,46,0,-450.00,B8
4,0.00,1994,inf,872,103,0,466.00,C8
6,0.00,5307,2653500.00,2430,173,1,-478.00,C8
6,0.01,13344,2224000.00,6084,815,1,456.00,H5
8,0.01,21136,2348444.44,10700,721,7,-510.00,C8
8,0.03,58709,2174407.41,30358,3790,32,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,6312,2104000.00,1455,227,0,188.00,A6
4,0.00,1387,inf,1866,281,0,-109.00,H8
6,0.03,57174,2117555.56,16760,3070,12,139.00,A6
6,0.00,9419,2354750.00,19990,3648,14,-128.00,C8
8,0.20,445303,2193610.84,152978,33524,757,144.00,A1
8,0.02,50855,2311590.91,170325,37712,924,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6304,2101333.33,1725,202,0,-161.00,F1
4,0.01,10198,2039600.00,3584,568,0,191.00,A1
6,0.03,65260,2105161.29,20577,3468,14,-141.00,F1
6,0.06,116813,2123872.73,47158,10429,78,171.00,A1
8,0.19,421838,2255818.18,153693,31461,763,-132.00,F1
8,0.29,650219,2242134.48,333778,92144,4027,161.00,A1

