探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.21,1469290,6963459.72,3083,26887,7278,85,5,278842,2.26,E6
10,0.10,778882,7417923.81,6539,24338,7195,99,1,268626,1.03,A8
12,1.84,12903175,7001180.14,8430,249907,53740,1971,327,2441468,2.41,E6
12,0.83,5913241,7115813.48,16975,205786,53496,1427,177,2183338,0.32,A8

C4E3F2E2F5C6D2C5B5D6D3A4D7E8D8
8,0.03,247574,7502242.42,1830,3777,1112,34,0,42804,6.70,F3
8,0.03,222958,7192193.55,1465,4984,2617,28,1,67764,-9.35,F8
10,0.30,2148413,7137584.72,3659,36817,9277,91,6,396309,5.90,F3
10,0.20,1491193,7345778.33,3311,41011,15712,83,11,482449,-7.45,F8
12,1.76,11993072,6794941.64,7228,228223,40521,1612,162,2124962,8.70,C8
12,1.81,13064665,7230030.44,10861,475705,178553,6721,2657,5381542,-9.41,C7

D3E3F3C3E6F4C5E7G5G2F7G4F5D2H3
8,0.10,757820,7578200.00,3596,11004,5039,50,1,184843,-10.20,C4
8,0.12,918652,7468715.45,1675,13162,2398,29,1,206555,4.58,B4
10,0.83,6159059,7420553.01,9110,112665,35712,486,88,1603226,-6.67,C4
10,0.94,6875223,7321856.23,4103,119279,24321,486,42,1608970,5.22,B4
12,7.53,55186648,7329877.54,36111,1207458,394200,42646,12579,15731950,-7.16,C4
12,7.84,55586629,7091940.42,19025,1179883,187278,40601,4431,14092369,3.89,B4

F5F4E3D6C6C5C4B4F3B6B3G2A7G4A4
8,0.07,534928,7641828.57,2215,7998,2286,38,1,125076,-8.99,G6
8,0.06,460956,7316761.90,1475,5534,2173,32,0,86012,10.82,F6
10,0.65,4773085,7365871.91,13115,85431,24799,286,36,1172551,-7.88,F6
10,0.39,2787009,7201573.64,3440,44659,9978,90,18,562891,10.23,C7
12,5.63,38814755,6888155.28,29256,799624,207017,18867,3747,10043652,-8.36,E6
12,2.37,16455544,6957946.72,6996,372400,77038,4335,866,3841197,6.80,C7

F5D6C5B6C4F4E6E3G3B4D2F7A4B3B2
8,0.06,483386,7672793.65,1919,5282,2003,45,0,81974,22.34,A3
8,0.02,169047,7043625.00,522,3653,561,28,0,48349,-20.37,C6
10,0.51,3774262,7386031.31,6463,49237,14655,157,20,683735,19.76,F3
10,0.23,1676479,7451017.78,3976,31517,5422,65,3,432998,-20.27,D3
12,4.66,33055310,7096459.85,14661,477213,123389,6884,1337,5972154,20.95,F3
12,1.77,13104679,7403773.45,4918,290149,43084,2491,192,3678608,-19.42,D3

F5F4G3E6F7H2D3E7E8C4C3G8C5G6G5H6G4D7H5H3F3F2C8B3G2E3D6H4C2C7
8,0.04,246050,6834722.22,2362,7417,2723,39,0,72126,-1.86,F8
8,0.02,129938,6187523.81,688,4325,1474,28,0,33595,-0.52,D8
10,0.23,1457884,6283982.76,5369,54828,17228,170,32,440032,0.39,F8
10,0.12,773370,6391487.60,3168,30888,8414,86,2,222459,-1.10,D8
12,1.22,7652093,6251709.97,15718,344940,85700,3731,865,2329217,0.40,F8
12,0.73,4481794,6164778.54,14382,202933,48807,1384,244,1365807,-0.46,D8

F5F6D3E3F7C5D6C6F2C4B6G6C3C2H5G7E2E7C1B1F3G5H7B5E6E1H4C7B4G3
8,0.03,214202,6693812.50,506,4502,452,20,0,40175,19.62,F4
8,0.01,100464,6697600.00,467,4086,855,23,1,34820,-16.58,D1
10,0.24,1559391,6364861.22,1541,47084,11020,116,19,366457,18.76,A1
10,0.16,1046596,6666216.56,3058,43631,8065,95,11,377257,-19.67,H6
12,1.42,8314909,5843224.88,2646,316462,61537,2933,411,2091736,20.22,A1
12,1.05,6683082,6364840.00,3599,341882,55233,3559,578,2613123,-18.98,H6

D3E3F6C2F3F5C3F7G5C4B1C1B5G3B2A2A1B4A3A6D2G6G7H7F2E6E7F1C6G4
8,0.11,753693,6914614.68,1687,8943,2234,23,0,105096,48.93,F4
8,0.04,280982,7594108.11,938,10192,2104,36,2,129646,-48.10,C5
10,0.66,4595547,6962950.00,2497,80194,13271,248,28,732269,47.26,F4
10,0.15,1160785,7537564.94,735,57388,8712,162,21,553748,-47.85,E2
12,3.26,21509921,6594089.82,2524,496701,51525,7507,623,3828596,46.95,B3
12,2.08,14787414,7119602.31,10050,807398,117905,19418,2703,7123993,-47.61,C5

C4C3C2C5C6D6E6B2D3C1B3C7D1A3A4F4B7A5A2A7F5E2F3F1D2B6C8D8F2G2
8,0.01,76797,6981545.45,381,3217,1452,26,1,28564,-7.13,E3
8,0.01,90079,6434214.29,138,2335,350,20,0,17356,13.14,A1
10,0.04,241945,6366973.68,323,13011,3094,43,0,94150,-9.60,B1
10,0.10,581267,5698696.08,3447,19552,4314,64,1,122533,12.87,B8
12,0.18,1077360,6018770.95,16464,70819,11897,240,10,413501,-10.74,B1
12,0.46,2646878,5754082.61,14766,113653,16582,498,39,644890,9.08,B8

D3C3E6F6C4E7F7E3F5B4F3G5E8F4G6C6C2G7A4D7C8C1B1C7E2D6F8A1B6B5
8,0.09,648126,6894957.45,3274,13064,4821,46,3,163259,-3.08,C5
8,0.06,440142,6877218.75,2505,8619,3249,28,0,109326,3.53,D2
10,0.79,5261077,6693482.19,13789,141050,37359,694,120,1433224,-2.83,G4
10,0.31,2023468,6569701.30,3229,59567,7414,174,5,516218,3.80,C5
12,4.63,29727676,6423439.07,33888,1001329,184233,29428,3766,8450616,-3.55,D2
12,3.34,20937368,6270550.46,14821,820439,135996,19737,2489,6543883,3.15,G4

C4E3F4G3E6C5C6D6E2E7F7B5E8G8G7D3B4F1G5B6A5C3H2F3C7A4E1F2F6A6
8,0.04,276658,7093794.87,1582,7624,2155,26,0,95284,-16.91,B7
8,0.09,593233,6979211.76,1909,8870,2588,35,0,104810,20.88,D2
10,0.18,1210604,6688419.89,4767,43157,8709,97,5,415209,-18.76,D2
10,0.39,2548326,6517457.80,2849,62212,13334,140,18,550062,21.19,D1
12,1.10,7194492,6558333.64,4990,340028,33906,3419,244,2749406,-20.59,D2
12,2.18,13370733,6141815.80,6391,431842,99063,5474,879,3246639,23.20,F5

D3E3F3E2F2G4F6C2C3G2H1C4D1D2C1C5F1G3G5E6D6G7G6E7F7G8B6H4B1F4
8,0.08,529256,6873454.55,2047,9928,3238,29,2,120414,9.97,B2
8,0.03,193437,6044906.25,699,5957,1905,24,0,59316,-7.04,H3
10,0.33,2209993,6737783.54,2145,55668,11241,122,11,521035,10.36,F5
10,0.17,1109818,6645616.77,4265,45652,15981,117,26,401342,-7.69,G1
12,3.07,19207959,6262784.15,10296,645708,125037,12807,2056,5051743,9.62,B2
12,1.95,12384427,6364042.65,15819,554675,155061,9161,2210,4558922,-8.68,H3

F5F6D3G5G7C2H5D6C3C4B2E6B1C1B3G6F7B5D1F8E8D8E7H4G4H6E3A1B4C5
8,0.01,77830,5986923.08,419,2657,592,18,0,22608,-5.62,D2
8,0.02,164362,6848416.67,955,4395,1396,29,0,40885,4.10,F4
10,0.06,379461,6324350.00,290,17202,2298,26,0,114470,-3.38,D2
10,0.10,652226,6271403.85,762,27678,6252,55,6,198163,2.25,F4
12,0.36,2150382,5956736.84,406,113846,12351,430,31,669726,-2.37,D2
12,0.72,4292979,5945954.29,3910,215744,46186,1473,262,1373246,2.07,F4

F5D6C5F6F7F4F3B6C4E3C7G7H7G5A5F8C3G2H1B8G4G3D7C6H2B3B7E6H4B5
8,0.04,232336,6638171.43,780,6661,2471,24,0,65166,6.22,B4
8,0.03,189813,6545275.86,630,5643,1174,21,0,49071,-4.65,D3
10,0.24,1564632,6519300.00,3450,58397,16473,157,29,487985,6.77,B4
10,0.19,1262688,6576500.00,1539,44453,7220,91,3,331361,-4.12,D3
12,1.41,8698735,6191270.46,5202,421799,83787,5367,945,2956718,6.04,B4
12,1.25,7761681,6189538.28,2760,323826,45730,3289,358,2125896,-3.78,D3

D3C5B6C3C6D2E3F3G2B5E6H1B2C4F2E7E8F5G3F4E2B7A5G4C2G1C7A1B4D7
8,0.09,595729,6619211.11,1428,7535,1437,30,0,97505,-2.85,D6
8,0.12,852658,7046760.33,3781,13561,7258,57,8,240190,4.58,B1
10,0.59,3953620,6735298.13,2813,70440,10681,192,23,730444,-1.52,D6
10,0.87,5992625,6911908.88,8057,139326,50043,678,171,1839250,2.99,B1
12,3.90,25381790,6516505.78,14491,579291,102036,10035,1168,5082938,-2.57,D6
12,5.04,33905681,6727317.66,55739,1063321,260644,33743,6691,11188184,3.27,F6

E6F6F5D6C5F4D7B6B4C7B7C8E3A7E7D3C4F3G7E8D8C6C3F7G8A4G3D2A6E2
8,0.02,127831,6727947.37,314,3663,544,14,0,26300,14.28,A8
8,0.01,68044,5234153.85,385,3517,1016,11,0,26247,-16.71,F8
10,0.11,678382,5950719.30,301,25813,3496,42,1,154946,14.64,A8
10,0.07,414486,6095382.35,1171,24388,4983,44,10,165727,-15.28,F8
12,0.57,3239061,5662694.06,964,153005,19436,747,55,783441,14.52,A8
12,0.80,4845138,6056422.50,3138,340223,64396,3615,634,2022259,-15.34,G5

C4E3F6C6C5E6F4F3C7G7F5C3D3B5B2A1A6C8C2A4B7G4A5D6D7A7A2B8G2C1
8,0.03,215261,7687892.86,850,4854,1350,20,0,46640,-7.42,E7
8,0.04,250405,7154428.57,1140,6978,2503,23,3,74903,8.50,F2
10,0.25,1732371,6985366.94,2740,48198,10899,114,17,411804,-10.33,E7
10,0.27,1854514,6945745.32,3083,66888,22459,155,32,611968,11.99,F2
12,1.58,10444187,6601888.12,28085,358086,76453,3909,696,2633928,-11.21,F2
12,1.13,7161161,6326113.96,3052,276614,38129,2429,284,2094809,13.74,A8

D3C5D6E7B6D2E3B4C6A6D1F2E6F5F4F6D7C3C4F3A5E8E2A4G2C2B2C7G4A1
8,0.10,713945,6931504.85,4737,12479,5640,38,1,178820,-11.40,B3
8,0.05,372273,7299470.59,1015,6775,1057,22,0,81056,11.80,B1
10,0.74,4944749,6673075.57,12333,110001,39535,439,80,1291853,-10.03,B3
10,0.31,2161158,6971477.42,4657,54755,9599,156,11,576981,9.46,B1
12,5.27,34827729,6611186.22,47950,922886,253661,25364,5651,9199913,-7.41,B3
12,1.97,13177289,6682195.23,13268,445212,71314,6020,631,4012242,8.96,B1

C4C5B6C3C2B4A3B5F6A7A5C1B3B2D2G7C7A4A2D1E6B1A6E3D3F5G6B7F2H7
8,0.02,183702,7654250.00,834,3308,1323,36,0,32780,33.13,A1
8,0.02,162227,6759458.33,1656,5530,2297,45,0,66616,-32.92,E2
10,0.19,1270081,6755750.00,1795,26745,7921,56,4,230416,38.15,A1
10,0.24,1697277,7101577.41,4640,76705,22485,271,59,765531,-38.06,E2
12,1.57,10399537,6632357.78,12887,245224,56454,1945,334,1956882,39.70,A1
12,1.78,12458899,6987604.60,29982,657269,111850,13007,2029,5773306,-39.88,E2

C4C3D3C5B5A5B2A1C6E2D2F4C2B1G4D7A6F5F1G3F6G5E3F3E8B4H2A7B3G7
