探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1096,inf,,,,-450.00,B8
4,0.00,2182,inf,,,,466.00,C8
6,0.00,6993,3496500.00,,,,-478.00,C8
6,0.01,17746,2957666.67,,,,456.00,H5
8,0.01,31236,3123600.00,,,,-510.00,C8
8,0.03,92542,2721823.53,,,,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,7076,2358666.67,,,,188.00,A6
4,0.00,1485,inf,,,,-109.00,H8
6,0.03,75513,2435903.23,,,,139.00,A6
6,0.00,12525,3131250.00,,,,-128.00,C8
8,0.31,783049,2534139.16,,,,144.00,A1
8,0.03,80931,2452454.55,,,,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,7202,3601000.00,,,,-161.00,F1
4,0.00,11314,2828500.00,,,,191.00,A1
6,0.04,95316,2576108.11,,,,-141.00,F1
6,0.06,163099,2588873.02,,,,171.00,A1
8,0.30,816080,2693333.33,,,,-132.00,F1
8,0.44,1193915,2719624.15,,,,161.00,A1

