探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,1438,inf,122,7,0,-109.00,H8
6,0.03,62192,2392000.00,5156,840,0,139.00,A6
6,0.00,9921,2480250.00,1216,161,0,-128.00,C8
8,0.20,489841,2424955.45,59555,12646,100,144.00,A1
8,0.02,53966,2569809.52,9053,1721,1,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6541,2180333.33,275,19,0,-161.00,F1
4,0.00,10762,2690500.00,441,39,0,191.00,A1
6,0.03,70281,2423482.76,4856,647,0,-141.00,F1
6,0.05,126012,2423307.69,8685,1826,6,171.00,A1
8,0.19,460201,2460967.91,50214,9140,68,-132.00,F1
8,0.30,707942,2367699.00,83471,21496,219,161.00,A1

