探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
12,0.96,7288755,7624220.71,2221,250792,62241,1947,228,2181964,13.74,A8

D3C5D6E7B6D2E3B4C6A6D1F2E6F5F4F6D7C3C4F3A5E8E2A4G2C2B2C7G4A1
8,0.09,705112,8104735.63,4828,10095,8862,33,1,167394,-11.40,B3
8,0.03,280354,8245705.88,899,4829,621,20,0,61338,11.80,B1
10,0.50,3912341,7856106.43,8369,71330,59746,196,94,1025303,-10.03,B3
10,0.23,1807252,7961462.56,2161,39840,6718,94,7,468888,9.46,B1
12,3.51,26750914,7614834.61,14988,611767,381608,11120,3928,7183962,-7.41,B3
12,1.09,8619188,7900263.98,2653,255337,39846,1994,164,2609264,8.96,B1

C4C5B6C3C2B4A3B5F6A7A5C1B3B2D2G7C7A4A2D1E6B1A6E3D3F5G6B7F2H7
8,0.03,206483,8259320.00,1175,3273,1978,53,0,37439,33.13,A1
8,0.02,158268,8792666.67,1337,4639,2546,34,0,64303,-32.92,E2
10,0.17,1279378,7707096.39,1635,25616,11417,79,5,244355,38.15,A1
10,0.19,1590530,8284010.42,3039,64968,23468,190,46,709358,-38.06,E2
12,1.10,8460815,7663781.70,3400,195185,69034,1251,170,1662609,39.70,A1
12,1.18,9619692,8180010.20,4430,456774,139285,6302,1177,4475035,-39.88,E2

C4C3D3C5B5A5B2A1C6E2D2F4C2B1G4D7A6F5F1G3F6G5E3F3E8B4H2A7B3G7
8,0.06,475050,8334210.53,2344,6677,1549,20,0,107879,-8.99,F2
8,0.03,265780,8305625.00,313,3681,573,16,0,48150,14.39,C1
10,0.26,2128959,8094901.14,2543,45008,8424,79,5,557808,-11.04,F2
10,0.26,2038428,7993835.29,1735,36707,11110,58,6,424352,13.82,A2
12,1.28,9798573,7631287.38,5295,276145,80280,2415,368,2886161,-11.59,F2
12,0.93,7224869,7760331.90,1842,146444,36340,676,62,1527560,14.86,C1

C4E3F5G6F3E6F7D7F2B4G5G4B3E2D3E8E7C2B5A4D2C5B2F1F4D1H7F6H3H4
8,0.12,1010238,8147080.65,3652,15158,8689,65,5,215768,3.72,C3
8,0.09,772052,8484087.91,1368,13602,7439,64,3,223783,-1.92,D6
10,1.01,7999459,7881240.39,8314,162778,75297,890,250,1783104,2.88,F8
10,0.46,3578984,7848649.12,2698,101826,51068,388,117,1149319,-0.34,D8
12,6.32,47396506,7503008.71,12048,1177845,539375,40687,11488,11095105,0.66,C3
12,5.00,39991546,7995111.16,4752,1285680,689035,47579,15808,14918354,-0.13,D6

D3E3F2C5F6E6B6C3B2D2E1D1E7A1C4F3G2B4A5G7C2C1F5D8B3C6B7A4E8E2
8,0.01,103366,7951230.77,449,3186,1206,29,0,38741,-9.14,C8
8,0.04,302714,8181459.46,339,4493,868,19,0,49771,11.52,A6
10,0.09,712188,8378682.35,1008,26273,7419,66,3,291989,-11.75,C8
10,0.32,2580719,7989842.11,526,47131,9832,92,11,452328,13.20,F1
12,0.54,4519464,8400490.71,1213,196920,54443,1176,184,2000508,-12.15,C8
12,3.06,23369556,7639606.41,1703,519716,114601,8146,899,4377584,13.51,F1

F5D6C4D3C5B6C3B3B5F6D7C7E3E7E2G5C2B2A3B4D8B1F3F2F8G3G4F1D1F4
8,0.12,981549,8111975.21,1736,9583,3085,26,0,130972,26.66,A2
8,0.02,209227,8717791.67,1268,5926,3196,31,0,91831,-28.81,D2
10,0.84,6487920,7687109.00,2669,90573,25188,258,28,1008863,27.81,A2
10,0.17,1451800,8745783.13,2244,53597,24081,124,21,676338,-31.69,D2
12,5.06,37834831,7480195.93,5156,720870,195649,15276,1839,6692887,28.89,A2
12,0.82,6996189,8511178.83,2757,292938,119354,2582,563,3322185,-32.62,A4

D3C3E6D6C4D2C5B5E7F4A5F7G3E8F6D7E2G4H4G5C7F3C2G2H2B3E3D1G7C6
8,0.09,724203,8229579.55,3164,12202,6424,49,1,170415,-2.85,H1
8,0.08,667651,8242604.94,2034,12502,7432,27,0,183496,1.06,B4
10,0.49,3867579,7813290.91,5079,88477,38005,327,70,990667,-2.25,B6
10,0.20,1491274,7493839.20,841,34808,10032,57,4,357063,3.39,H3
12,3.09,22872195,7404401.10,8642,662408,308228,13018,3533,6463043,-2.28,B6
12,1.68,12334880,7337822.72,1765,388156,139548,4547,1223,3447726,4.59,B4

C4E3F2C3D3E2B2B3C2E6B4B1C1A1A3A5F7C6F5D2A4B5C5A2B7G5D6E7B6G7
8,0.04,320846,8226820.51,1526,5025,2361,40,0,74436,-9.57,D1
8,0.03,247593,8253100.00,963,5764,2315,34,0,74535,9.16,E1
10,0.27,2182193,8052372.69,3569,47489,21490,145,20,544734,-11.60,D1
10,0.15,1160480,7894421.77,1479,36351,14939,87,11,382829,11.97,E1
12,1.76,13418781,7628641.84,6638,395433,152089,4665,1035,3562274,-12.55,D1
12,1.23,9105597,7414981.27,3553,379518,151796,4404,1292,3235805,12.83,F4

E6D6C4F6E7C3G6F8B2E3C6A1F3G5C2C5D3F2F1H6E2D2E8E1H4G2G3G4B6A7F5B5H1D7A6D1D8A5H7B7A8B3B1B8C8H2F4G7A4C7
8,0.00,12019,6009500.00,230,1236,867,31,0,4405,12.08,F7
8,0.00,5450,5450000.00,141,801,552,24,0,2075,-7.73,B4
10,0.00,14083,inf,1359,106,13,22,0,7552,8.00,H5
9,0.00,6958,inf,1359,47,11,21,0,2393,-8.00,B4
10,0.00,14083,inf,1359,106,13,22,0,7552,8.00,H5
9,0.00,6958,inf,1359,47,11,21,0,2393,-8.00,B4

E6F4D3C6D6F6F3D2G4E3C4B5B7H4H5F2G6E7H3H6F8D7C7D8H7B6E2B8F5G2C2E1A8D1A6A5B3B4C8A7H1G5F1G1C5B1B2A4A2G7
8,0.00,7395,7395000.00,121,866,492,32,0,2770,11.62,A3
