探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
D3C3E6F4G3D6B3F5G6G5F6E7G7H2G4
8,0.05,332394,6517529.41,1784,5564,1445,34,0,63592,16.48,F7
8,0.03,210863,7028766.67,1791,5579,1759,45,0,67267,-15.40,F8
10,0.52,3478742,6689888.46,5175,64941,13379,201,15,653070,18.07,F7
10,0.39,2611408,6695917.95,10428,83686,29048,299,60,946547,-17.23,C5
12,4.20,27472611,6544214.15,12695,550563,91105,9217,1211,5133659,17.95,F7
12,3.27,21688042,6628374.69,16913,894168,204112,23566,5077,9019318,-15.36,C5

C4C5F6D3C6B6D2C7B7A7A6B5A5C3B2
8,0.02,129917,6837736.84,416,2550,471,17,0,24482,1.88,E6
8,0.01,91153,7011769.23,1275,2707,855,37,0,29817,1.58,A8
10,0.23,1469290,6501283.19,3083,26887,7278,85,5,278842,2.26,E6
10,0.13,778882,6231056.00,6539,24338,7195,99,1,268626,1.03,A8
12,1.99,12903175,6477497.49,8430,249907,53740,1971,327,2441468,2.41,E6
12,0.86,5913241,6867875.73,16975,205786,53496,1427,177,2183338,0.32,A8

C4E3F2E2F5C6D2C5B5D6D3A4D7E8D8
8,0.04,247574,7073542.86,1830,3777,1112,34,0,42804,6.70,F3
8,0.03,222958,6967437.50,1465,4984,2617,28,1,67764,-9.35,F8
10,0.32,2148413,6651433.44,3659,36817,9277,91,6,396309,5.90,F3
10,0.22,1491193,6778150.00,3311,41011,15712,83,11,482449,-7.45,F8
12,1.88,11993072,6375902.18,7228,228223,40521,1612,162,2124962,8.70,C8
12,1.94,13064665,6720506.69,10861,475705,178553,6721,2657,5381542,-9.41,C7

D3E3F3C3E6F4C5E7G5G2F7G4F5D2H3
8,0.10,757820,7357475.73,3596,11004,5039,50,1,184843,-10.20,C4
8,0.13,918652,6855611.94,1675,13162,2398,29,1,206555,4.58,B4
10,0.87,6159059,7079378.16,9110,112665,35712,486,88,1603226,-6.67,C4
10,1.00,6875223,6889001.00,4103,119279,24321,486,42,1608970,5.22,B4
12,8.07,55186648,6835952.93,36111,1207458,394200,42646,12579,15731950,-7.16,C4
12,8.46,55586629,6566642.53,19025,1179883,187278,40601,4431,14092369,3.89,B4

F5F4E3D6C6C5C4B4F3B6B3G2A7G4A4
