探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
10,0.87,1659822,1903465.60,203224,26667,1286,-107.00,A8
10,3.12,6657737,2136629.33,659715,109612,13736,130.00,B5

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3476,3476000.00,243,3,0,167.00,G7
4,0.00,904,inf,55,4,0,-146.00,G4
6,0.01,40207,2680466.67,3290,253,1,213.00,G7
6,0.00,9113,3037666.67,716,59,0,-234.00,G8
8,0.17,394620,2391636.36,33675,4413,40,326.00,E1
8,0.05,108914,2016925.93,9257,912,5,-370.00,G4
10,1.96,4460103,2280216.26,379933,54311,4382,378.00,E1
10,0.41,813066,1968682.81,79807,7707,161,-405.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.01,38031,2716500.00,1004,155,0,35.00,A1
4,0.01,23721,2635666.67,699,65,0,22.00,A3
6,0.25,624049,2516326.61,25398,5574,20,29.00,A1
6,0.15,365506,2469635.14,16552,3407,7,12.00,A3
8,4.49,9120764,2032255.79,465679,101598,6756,32.00,A1
8,2.28,4360891,1913510.75,255905,47695,2058,8.00,F6
10,52.25,104032678,1990979.83,5405337,1283468,1157472,28.00,F6
10,31.52,58257800,1848515.04,3463407,645336,425147,6.00,G6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4193,4193000.00,261,19,0,11.00,F7
4,0.00,1737,inf,129,1,0,69.00,E3
6,0.01,29052,2234769.23,2665,417,0,38.00,E3
6,0.00,7089,3544500.00,881,124,0,33.00,F8
8,0.04,99422,2549282.05,13083,2192,7,38.00,E3
8,0.01,20445,2920714.29,3344,760,0,-2.00,F8
10,0.12,306653,2576915.97,53192,8245,93,3.00,B8
10,0.05,132938,2556500.00,27613,3083,23,-6.00,E3

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1601,inf,158,28,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.00,7007,3503500.00,976,251,0,-114.00,F8
6,0.00,7537,3768500.00,1158,114,0,134.00,H6
8,0.01,28766,2397166.67,6065,1489,1,-121.00,F8
8,0.01,35897,2393133.33,7747,1107,2,188.00,C2
10,0.06,136406,2435821.43,36441,7680,47,-174.00,B8
10,0.06,142211,2331327.87,40498,6345,44,230.00,C4

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1042,inf,112,4,0,-450.00,B8
4,0.00,2106,inf,207,12,0,466.00,C8
6,0.00,5547,5547000.00,877,77,0,-478.00,C8
6,0.01,14274,2854800.00,1736,222,0,456.00,H5
8,0.01,22214,2468222.22,4684,365,1,-510.00,C8
8,0.02,65470,2727916.67,10750,1460,3,520.00,H5
10,0.04,92898,2510756.76,23080,1700,25,-518.00,C8
10,0.09,235732,2709563.22,56233,6916,93,505.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,6685,3342500.00,357,44,0,188.00,A6
4,0.00,1438,inf,122,7,0,-109.00,H8
6,0.03,62192,2487680.00,5155,840,1,139.00,A6
6,0.00,9921,3307000.00,1216,161,0,-128.00,C8
8,0.20,422908,2168758.97,52426,10449,79,144.00,A1
8,0.03,49195,1967800.00,8337,1641,3,-132.00,G5
10,0.78,1765463,2272153.15,314769,65040,3115,152.00,A6
10,0.04,95627,2125044.44,24712,4062,27,-162.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6541,3270500.00,275,19,0,-161.00,F1
4,0.00,10762,2690500.00,441,39,0,191.00,A1
6,0.03,70281,2703115.38,4856,647,0,-141.00,F1
6,0.05,125967,2570755.10,8687,1829,1,171.00,A1
8,0.21,470039,2248990.43,51121,9537,79,-132.00,F1
8,0.30,685383,2269480.13,80779,20267,198,161.00,A1
10,0.58,1353601,2321785.59,251047,48473,1948,-136.00,F1
10,0.61,1482708,2430668.85,319455,80743,3385,156.00,A1

